session_id,attempt_id,timestamp,account_id,source_identity,target_identity,pair_id,attack,attack_family,is_adaptive,epsilon,alpha,steps,queries_used,similarity_before,similarity_after_attack,similarity_gain,threshold,threshold_margin,accepted_before,accepted_after_attack,attack_success_before_defense,defense,bypassed_defenses,similarity_after_defense,accepted_after_defense,defense_bypassed,strong_defense_bypassed,defense_success,defense_time_sec,l2,linf,time_sec,risk_score,risk_level,rule_hits,source_file,target_enroll_file,adv_file,perturbation_file,rule_reasons
faceauth_sess_000001,vf_5abf8b510ee7,2026-06-28T09:00:37+09:00,account_325c93af0e36,source_4008c321c1f3,target_03259d71c4a4,pair_000002,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.25671204924583435,0.5181156396865845,0.2614035904407501,0.47966246581077576,0.038453,False,True,True,,,,False,False,False,False,,1.1535576581954956,0.005000025033950806,0.9495547200000374,60,high,FA-R005;FA-R006;FA-R008,artifact_7e3e442991cbe652,artifact_347da786b01f9302,artifact_e12490b71a022b99,artifact_61aeadac51ac73f1,"[{""reason"": ""source=source_4008c321c1f3 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_03259d71c4a4 accepted attack attempts=110 >= 10"", ""rule_id"": ""FA-R006""}, {""reason"": ""accepted=true, l2=1.1535576581954956, linf=0.005000025033950806; low-norm boundary met"", ""rule_id"": ""FA-R008""}]"
faceauth_sess_000002,vf_d769d219615c,2026-06-28T09:01:14+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pair_000004,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.32303187251091003,0.5578231811523438,0.23479130864143372,0.47966246581077576,0.078161,False,True,True,,,,False,False,False,False,,1.183714747428894,0.005000025033950806,0.5047238970000762,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_ea2e7a72513d695e,artifact_e70b76a6e0f31346,artifact_e44e6038b783e4ec,artifact_1f3fa7de8394c4c4,"[{""reason"": ""accepted=true, threshold_margin=0.078161 >= 0.050000"", ""rule_id"": ""FA-R001""}, {""reason"": ""source=source_3b3b33593a36 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_3b63f0fe705d accepted attack attempts=136 >= 10"", ""rule_id"": ""FA-R006""}, {""reason"": ""negative-pair similarity_before=0.323032 >= 0.300000"", ""rule_id"": ""FA-R007""}, {""reason"": ""accepted=true, l2=1.183714747428894, linf=0.005000025033950806; low-norm boundary met"", ""rule_id"": ""FA-R008""}]"
faceauth_sess_000003,vf_90293020b82d,2026-06-28T09:01:51+09:00,account_aa8cb7bdb1ee,source_ebc43d3edd78,target_5356319edd8e,pair_000005,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.048159029334783554,0.3374025821685791,0.38556161150336266,0.47966246581077576,-0.14226,False,False,False,,,,False,False,False,False,,1.1983078718185425,0.005000025033950806,0.5185087209999892,20,low,FA-R005;FA-R006,artifact_f722e12471c34f1e,artifact_f69214ebe97d88e0,artifact_affe19d1443c5693,artifact_39226d9335f2d9a0,"[{""reason"": ""source=source_ebc43d3edd78 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_5356319edd8e accepted attack attempts=94 >= 10"", ""rule_id"": ""FA-R006""}]"
faceauth_sess_000004,vf_a070db2d6fde,2026-06-28T09:02:28+09:00,account_096db15d39e1,source_b82940bb25ca,target_bbb0daa338ba,pair_000007,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.31008633971214294,0.7457631230354309,0.43567678332328796,0.47966246581077576,0.266101,False,True,True,,,,False,False,False,False,,1.1683176755905151,0.005000025033950806,0.5028990239999303,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_096090dc7a70a70e,artifact_ffaab360051abf69,artifact_6acabaea94dc4cb9,artifact_69ed72d190a118b8,"[{""reason"": ""accepted=true, threshold_margin=0.266101 >= 0.050000"", ""rule_id"": ""FA-R001""}, {""reason"": ""source=source_b82940bb25ca targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_bbb0daa338ba accepted attack attempts=98 >= 10"", ""rule_id"": ""FA-R006""}, {""reason"": ""negative-pair similarity_before=0.310086 >= 0.300000"", ""rule_id"": ""FA-R007""}, {""reason"": ""accepted=true, l2=1.1683176755905151, linf=0.005000025033950806; low-norm boundary met"", ""rule_id"": ""FA-R008""}]"
faceauth_sess_000005,vf_b3bfebf71f8e,2026-06-28T09:03:05+09:00,account_ffbb30f1279e,source_3b3b33593a36,target_952b25972fe5,pair_000009,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.23096579313278198,0.49451398849487305,0.26354819536209106,0.47966246581077576,0.014852,False,True,True,,,,False,False,False,False,,1.2254871129989624,0.005000025033950806,0.5000198249999812,68,high,FA-R002;FA-R005;FA-R006;FA-R008,artifact_5b19a99798e135c0,artifact_b7644562c14b66f3,artifact_9a0e44bf40535c3b,artifact_2a42b851b7f1e9e7,"[{""reason"": ""source-target attempts=36, threshold_margin=0.014852 within ±0.030000"", ""rule_id"": ""FA-R002""}, {""reason"": ""source=source_3b3b33593a36 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_952b25972fe5 accepted attack attempts=67 >= 10"", ""rule_id"": ""FA-R006""}, {""reason"": ""accepted=true, l2=1.2254871129989624, linf=0.005000025033950806; low-norm boundary met"", ""rule_id"": ""FA-R008""}]"
faceauth_sess_000006,vf_8eca2caba8d7,2026-06-28T09:03:42+09:00,account_aa8cb7bdb1ee,source_ebc43d3edd78,target_5356319edd8e,pair_000011,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.08974314481019974,0.4105651378631592,0.32082199305295944,0.47966246581077576,-0.069097,False,False,False,,,,False,False,False,False,,1.2077505588531494,0.005000025033950806,0.5046832320000476,20,low,FA-R005;FA-R006,artifact_7f52b550a3302ff0,artifact_3b48ae18c7abdd7b,artifact_2e6c07fe9c70ac4e,artifact_71a3319caafd3670,"[{""reason"": ""source=source_ebc43d3edd78 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_5356319edd8e accepted attack attempts=94 >= 10"", ""rule_id"": ""FA-R006""}]"
faceauth_sess_000007,vf_b37e611e75ae,2026-06-28T09:04:19+09:00,account_aa8cb7bdb1ee,source_b82940bb25ca,target_5356319edd8e,pair_000015,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.14001508057117462,0.10056424140930176,0.24057932198047638,0.47966246581077576,-0.379098,False,False,False,,,,False,False,False,False,,1.175681233406067,0.005000025033950806,0.5027835340000593,20,low,FA-R005;FA-R006,artifact_239654de81fc51e7,artifact_5f2b8341452fd825,artifact_0197733648e3dd68,artifact_483206b69f47df82,"[{""reason"": ""source=source_b82940bb25ca targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_5356319edd8e accepted attack attempts=94 >= 10"", ""rule_id"": ""FA-R006""}]"
faceauth_sess_000008,vf_1c760e738599,2026-06-28T09:04:56+09:00,account_aa8cb7bdb1ee,source_16254f944d43,target_5356319edd8e,pair_000017,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.20681104063987732,0.5092445611953735,0.3024335205554962,0.47966246581077576,0.029582,False,True,True,,,,False,False,False,False,,1.1765742301940918,0.005000025033950806,0.506949795999958,68,high,FA-R002;FA-R005;FA-R006;FA-R008,artifact_882998cf94863fb5,artifact_3fa634f723a63e6c,artifact_51952ea0ff49c714,artifact_6d9da7cc25b177e8,"[{""reason"": ""source-target attempts=32, threshold_margin=0.029582 within ±0.030000"", ""rule_id"": ""FA-R002""}, {""reason"": ""source=source_16254f944d43 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_5356319edd8e accepted attack attempts=94 >= 10"", ""rule_id"": ""FA-R006""}, {""reason"": ""accepted=true, l2=1.1765742301940918, linf=0.005000025033950806; low-norm boundary met"", ""rule_id"": ""FA-R008""}]"
faceauth_sess_000009,vf_a2133e5cb6dd,2026-06-28T09:05:33+09:00,account_8b79ce491c71,source_b82940bb25ca,target_a5eaf0f7d6ad,pair_000019,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.03523227572441101,0.18749016523361206,0.22272244095802307,0.47966246581077576,-0.292172,False,False,False,,,,False,False,False,False,,1.2256510257720947,0.005000025033950806,0.5026220539999713,20,low,FA-R005;FA-R006,artifact_fc7648caf3f43aa7,artifact_ad9ddf45426b33bb,artifact_f5c812b9a5dd8a22,artifact_e24e1688be58db10,"[{""reason"": ""source=source_b82940bb25ca targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_a5eaf0f7d6ad accepted attack attempts=71 >= 10"", ""rule_id"": ""FA-R006""}]"
faceauth_sess_000010,vf_0aa41a088ae0,2026-06-28T09:06:10+09:00,account_a90781b5ae10,source_ebc43d3edd78,target_b750d1d78860,pair_000021,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.13453172147274017,0.1865043044090271,0.3210360258817673,0.47966246581077576,-0.293158,False,False,False,,,,False,False,False,False,,1.1909466981887817,0.005000025033950806,0.49817080500008615,20,low,FA-R005;FA-R006,artifact_dc20c1c862b75707,artifact_00c88802fcd48899,artifact_507891d904b125f1,artifact_5b06b3bbe1be7ea2,"[{""reason"": ""source=source_ebc43d3edd78 targeted multiple identities"", ""rule_id"": ""FA-R005""}, {""reason"": ""target=target_b750d1d78860 accepted attack attempts=62 >= 10"", ""rule_id"": ""FA-R006""}]"
