session_id,attempt_id,pair_id,attack,attack_family,source_identity,target_identity,epsilon,alpha,steps,threshold,similarity_before,similarity_after_attack,threshold_margin,accepted_after_attack,attack_success_before_defense,source_file,target_enroll_file,adv_file,perturbation_file,jpeg_evaluation_basis,jpeg_attack_success_before_defense,jpeg_similarity_after_defense,jpeg_accepted_after_defense,jpeg_defense_bypassed,jpeg_defense_success,jpeg_defense_time_sec,smoothing_evaluation_basis,smoothing_attack_success_before_defense,smoothing_similarity_after_defense,smoothing_accepted_after_defense,smoothing_defense_bypassed,smoothing_defense_success,smoothing_defense_time_sec,bitdepth_evaluation_basis,bitdepth_attack_success_before_defense,bitdepth_similarity_after_defense,bitdepth_accepted_after_defense,bitdepth_defense_bypassed,bitdepth_defense_success,bitdepth_defense_time_sec,adv_training_evaluation_basis,adv_training_attack_success_before_defense,adv_training_similarity_after_defense,adv_training_accepted_after_defense,adv_training_defense_bypassed,adv_training_defense_success,adv_training_defense_time_sec
faceauth_defense_005a59c31dd2,vf_005a59c31dd2,pair_000174,targeted_pgd_facenet_verification,pgd,Colin_Powell,Jean_Chretien,0.01,0.001,20,0.47966246581077576,0.05099835246801376,0.5891410112380981,0.109479,True,True,samples/0.010/vf_005a59c31dd2/source/Colin_Powell_0105.jpg,samples/0.010/vf_005a59c31dd2/target_enroll/Jean_Chretien_0044.jpg,samples/0.010/vf_005a59c31dd2/adversarial/Colin_Powell_Colin_Powell_0105_to_Jean_Chretien_Jean_Chretien_0044_facenet_eps0.010_a0.001_s20.jpg,samples/0.010/vf_005a59c31dd2/perturbation/Colin_Powell_Colin_Powell_0105_to_Jean_Chretien_Jean_Chretien_0044_facenet_eps0.010_a0.001_s20_perturbation.jpg,artifact_reload,False,0.43182188,False,False,False,0.0012,artifact_reload,False,0.18147339,False,False,False,0.0014,artifact_reload,False,0.36396903,False,False,False,0.0009,legacy_record,True,-0.01980356,False,False,True,
faceauth_defense_018e3df2e135,vf_018e3df2e135,pair_000118,targeted_pgd_facenet_verification,pgd,George_W_Bush,Tony_Blair,0.01,0.001,20,0.47966246581077576,0.2625645697116852,0.7719829082489014,0.29232,True,True,samples/0.010/vf_018e3df2e135/source/George_W_Bush_0064.jpg,samples/0.010/vf_018e3df2e135/target_enroll/Tony_Blair_0077.jpg,samples/0.010/vf_018e3df2e135/adversarial/George_W_Bush_George_W_Bush_0064_to_Tony_Blair_Tony_Blair_0077_facenet_eps0.010_a0.001_s20.jpg,samples/0.010/vf_018e3df2e135/perturbation/George_W_Bush_George_W_Bush_0064_to_Tony_Blair_Tony_Blair_0077_facenet_eps0.010_a0.001_s20_perturbation.jpg,artifact_reload,True,0.65955669,True,True,False,0.0014,artifact_reload,True,0.51603103,True,True,False,0.0013,artifact_reload,True,0.61927438,True,True,False,0.0007,legacy_record,True,0.10347547,False,False,True,
faceauth_defense_02078c82c5db,vf_02078c82c5db,pair_000057,targeted_pgd_facenet_verification,pgd,Gerhard_Schroeder,Hugo_Chavez,0.01,0.001,10,0.47966246581077576,0.3084094226360321,0.7969239950180054,0.317262,True,True,samples/0.010/vf_02078c82c5db/source/Gerhard_Schroeder_0075.jpg,samples/0.010/vf_02078c82c5db/target_enroll/Hugo_Chavez_0046.jpg,samples/0.010/vf_02078c82c5db/adversarial/Gerhard_Schroeder_Gerhard_Schroeder_0075_to_Hugo_Chavez_Hugo_Chavez_0046_facenet_eps0.010_a0.001_s10.jpg,samples/0.010/vf_02078c82c5db/perturbation/Gerhard_Schroeder_Gerhard_Schroeder_0075_to_Hugo_Chavez_Hugo_Chavez_0046_facenet_eps0.010_a0.001_s10_perturbation.jpg,artifact_reload,True,0.71032584,True,True,False,0.0012,artifact_reload,True,0.3339209,False,False,True,0.0013,artifact_reload,True,0.66646028,True,True,False,0.0007,legacy_record,True,0.36507308,False,False,True,
faceauth_defense_03b510d57c63,vf_03b510d57c63,pair_000128,targeted_pgd_facenet_verification,pgd,Tony_Blair,Colin_Powell,0.005,0.001,10,0.47966246581077576,0.4402514696121216,0.7228025197982788,0.24314,True,True,samples/0.005/vf_03b510d57c63/source/Tony_Blair_0104.jpg,samples/0.005/vf_03b510d57c63/target_enroll/Colin_Powell_0032.jpg,samples/0.005/vf_03b510d57c63/adversarial/Tony_Blair_Tony_Blair_0104_to_Colin_Powell_Colin_Powell_0032_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_03b510d57c63/perturbation/Tony_Blair_Tony_Blair_0104_to_Colin_Powell_Colin_Powell_0032_facenet_eps0.005_a0.001_s10_perturbation.jpg,artifact_reload,True,0.68477863,True,True,False,0.0012,artifact_reload,True,0.24993649,False,False,True,0.0013,artifact_reload,True,0.66834176,True,True,False,0.0007,legacy_record,True,0.13156816,False,False,True,
faceauth_defense_04d0d58268c4,vf_04d0d58268c4,pair_000212,targeted_pgd_facenet_verification,pgd,Junichiro_Koizumi,Jean_Chretien,0.01,0.001,20,0.47966246581077576,-0.10447540879249573,0.6556742191314697,0.176012,True,True,samples/0.010/vf_04d0d58268c4/source/Junichiro_Koizumi_0017.jpg,samples/0.010/vf_04d0d58268c4/target_enroll/Jean_Chretien_0021.jpg,samples/0.010/vf_04d0d58268c4/adversarial/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_Jean_Chretien_Jean_Chretien_0021_facenet_eps0.010_a0.001_s20.jpg,samples/0.010/vf_04d0d58268c4/perturbation/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_Jean_Chretien_Jean_Chretien_0021_facenet_eps0.010_a0.001_s20_perturbation.jpg,artifact_reload,False,0.43130735,False,False,False,0.0012,artifact_reload,False,0.08049394,False,False,False,0.0015,artifact_reload,False,0.37231645,False,False,False,0.0007,legacy_record,True,0.2387262,False,False,True,
faceauth_defense_0591f2a2c339,vf_0591f2a2c339,pair_000007,targeted_pgd_facenet_verification,pgd,Junichiro_Koizumi,George_W_Bush,0.01,0.001,20,0.47966246581077576,0.3100721538066864,0.9590348601341248,0.479372,True,True,samples/0.010/vf_0591f2a2c339/source/Junichiro_Koizumi_0017.jpg,samples/0.010/vf_0591f2a2c339/target_enroll/George_W_Bush_0391.jpg,samples/0.010/vf_0591f2a2c339/adversarial/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.010_a0.001_s20.jpg,samples/0.010/vf_0591f2a2c339/perturbation/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.010_a0.001_s20_perturbation.jpg,artifact_reload,True,0.88125718,True,True,False,0.0012,artifact_reload,True,-0.00941913,False,False,True,0.0014,artifact_reload,True,0.84430969,True,True,False,0.0007,legacy_record,True,0.26163149,False,False,True,
faceauth_defense_05ba8a308d75,vf_05ba8a308d75,pair_000093,targeted_pgd_facenet_verification,pgd,Jean_Chretien,Ariel_Sharon,0.01,0.001,20,0.47966246581077576,0.39783260226249695,0.8498008847236633,0.370138,True,True,samples/0.010/vf_05ba8a308d75/source/Jean_Chretien_0036.jpg,samples/0.010/vf_05ba8a308d75/target_enroll/Ariel_Sharon_0042.jpg,samples/0.010/vf_05ba8a308d75/adversarial/Jean_Chretien_Jean_Chretien_0036_to_Ariel_Sharon_Ariel_Sharon_0042_facenet_eps0.010_a0.001_s20.jpg,samples/0.010/vf_05ba8a308d75/perturbation/Jean_Chretien_Jean_Chretien_0036_to_Ariel_Sharon_Ariel_Sharon_0042_facenet_eps0.010_a0.001_s20_perturbation.jpg,artifact_reload,True,0.73459911,True,True,False,0.0013,artifact_reload,True,0.24537766,False,False,True,0.0014,artifact_reload,True,0.67858756,True,True,False,0.0007,legacy_record,True,0.26470083,False,False,True,
faceauth_defense_07cf156bd5b2,vf_07cf156bd5b2,pair_000078,targeted_pgd_facenet_verification,pgd,Tony_Blair,Colin_Powell,0.01,0.001,10,0.47966246581077576,0.39863404631614685,0.8323450088500977,0.352683,True,True,samples/0.010/vf_07cf156bd5b2/source/Tony_Blair_0043.jpg,samples/0.010/vf_07cf156bd5b2/target_enroll/Colin_Powell_0130.jpg,samples/0.010/vf_07cf156bd5b2/adversarial/Tony_Blair_Tony_Blair_0043_to_Colin_Powell_Colin_Powell_0130_facenet_eps0.010_a0.001_s10.jpg,samples/0.010/vf_07cf156bd5b2/perturbation/Tony_Blair_Tony_Blair_0043_to_Colin_Powell_Colin_Powell_0130_facenet_eps0.010_a0.001_s10_perturbation.jpg,artifact_reload,True,0.76907074,True,True,False,0.0012,artifact_reload,True,0.36756322,False,False,True,0.0014,artifact_reload,True,0.73141193,True,True,False,0.0007,legacy_record,True,0.3407754,False,False,True,
faceauth_defense_07ec11b48deb,vf_07ec11b48deb,pair_000192,targeted_pgd_facenet_verification,pgd,Donald_Rumsfeld,Tony_Blair,0.005,0.001,10,0.47966246581077576,0.23458966612815857,0.5254927277565002,0.04583,True,True,samples/0.005/vf_07ec11b48deb/source/Donald_Rumsfeld_0119.jpg,samples/0.005/vf_07ec11b48deb/target_enroll/Tony_Blair_0063.jpg,samples/0.005/vf_07ec11b48deb/adversarial/Donald_Rumsfeld_Donald_Rumsfeld_0119_to_Tony_Blair_Tony_Blair_0063_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_07ec11b48deb/perturbation/Donald_Rumsfeld_Donald_Rumsfeld_0119_to_Tony_Blair_Tony_Blair_0063_facenet_eps0.005_a0.001_s10_perturbation.jpg,artifact_reload,True,0.48049337,True,True,False,0.0013,artifact_reload,True,0.22701338,False,False,True,0.0014,artifact_reload,True,0.42803532,False,False,True,0.0007,legacy_record,True,0.04297371,False,False,True,
faceauth_defense_090fcb274067,vf_090fcb274067,pair_000023,targeted_pgd_facenet_verification,pgd,Ariel_Sharon,Colin_Powell,0.005,0.001,10,0.47966246581077576,0.28864219784736633,0.5326390266418457,0.052977,True,True,samples/0.005/vf_090fcb274067/source/Ariel_Sharon_0069.jpg,samples/0.005/vf_090fcb274067/target_enroll/Colin_Powell_0179.jpg,samples/0.005/vf_090fcb274067/adversarial/Ariel_Sharon_Ariel_Sharon_0069_to_Colin_Powell_Colin_Powell_0179_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_090fcb274067/perturbation/Ariel_Sharon_Ariel_Sharon_0069_to_Colin_Powell_Colin_Powell_0179_facenet_eps0.005_a0.001_s10_perturbation.jpg,artifact_reload,True,0.50434089,True,True,False,0.0012,artifact_reload,True,0.22634196,False,False,True,0.0014,artifact_reload,True,0.46671608,False,False,True,0.0007,legacy_record,True,0.277684,False,False,True,
