session_id,timestamp,account_id,source_identity,target_identity,attack_family,epsilon,similarity_before,similarity_after_attack,threshold_margin,accepted_after_attack,risk_score,risk_level,rule_hits,adv_file
faceauth_sess_001347,2026-06-28T22:50:39+09:00,account_2930c947d69b,source_b82940bb25ca,target_f279b767b25d,pgd,0.005,0.4715779423713684,0.8092575073242188,0.329595,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_83918c78986afdca
faceauth_sess_000095,2026-06-28T09:58:35+09:00,account_aa8cb7bdb1ee,source_6eda93227392,target_5356319edd8e,pgd,0.005,0.4416871964931488,0.7802993655204773,0.300637,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_f5624bae567b1a69
faceauth_sess_001295,2026-06-28T22:18:35+09:00,account_aa8cb7bdb1ee,source_6eda93227392,target_5356319edd8e,pgd,0.005,0.4416871964931488,0.7802993655204773,0.300637,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_71c2d0e040fa3d08
faceauth_sess_001313,2026-06-28T22:29:41+09:00,account_e24a8188935d,source_16254f944d43,target_6d0d6f90d03e,pgd,0.005,0.43925565481185913,0.7618148326873779,0.282152,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_a7739789b9d8aa78
faceauth_sess_000004,2026-06-28T09:02:28+09:00,account_096db15d39e1,source_b82940bb25ca,target_bbb0daa338ba,pgd,0.005,0.31008633971214294,0.7457631230354309,0.266101,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_6acabaea94dc4cb9
faceauth_sess_001204,2026-06-28T21:22:28+09:00,account_096db15d39e1,source_b82940bb25ca,target_bbb0daa338ba,pgd,0.005,0.31008633971214294,0.7457631230354309,0.266101,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e181b1f9d16b22ea
faceauth_sess_001345,2026-06-28T22:49:25+09:00,account_aa8cb7bdb1ee,source_ea9c6f198674,target_5356319edd8e,pgd,0.005,0.3556925654411316,0.7407965660095215,0.261134,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_763cd5be874af967
faceauth_sess_001341,2026-06-28T22:46:57+09:00,account_a833223b917d,source_ebc43d3edd78,target_3b63f0fe705d,pgd,0.005,0.3932805061340332,0.7401047348976135,0.260442,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_2a98a0a312f58080
faceauth_sess_000057,2026-06-28T09:35:09+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pgd,0.005,0.4403509497642517,0.72271728515625,0.243055,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_a5e6eac036844779
faceauth_sess_001257,2026-06-28T21:55:09+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pgd,0.005,0.4403509497642517,0.72271728515625,0.243055,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_4dedff932fc6eabf
faceauth_sess_001396,2026-06-28T23:20:52+09:00,account_a90781b5ae10,source_27656f3b65b8,target_b750d1d78860,pgd,0.005,0.3996620774269104,0.7211132645606995,0.241451,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_3ee16d8f087db460
faceauth_sess_001326,2026-06-28T22:37:42+09:00,account_325c93af0e36,source_4008c321c1f3,target_03259d71c4a4,pgd,0.005,0.3844653367996216,0.710065484046936,0.230403,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_fd5281efdba95d10
